,Tc,T(K),Voltage(mV),rho0,rho,1000/T(K),log10(rho)
0,22,295,269.1,67.63220664648108,5.471861379165136,3.389830508474576,0.738135086697035
1,27,300,272.6,68.51185258948622,5.543030144780439,3.3333333333333335,0.7437472404319352
2,32,305,276.0,69.36636579126262,5.612165517092445,3.278688524590164,0.749130470998498
3,37,310,275.9,69.3412330500339,5.6101321237891515,3.225806451612903,0.7489730894124658
4,42,315,270.9,68.08459598859798,5.508462458624432,3.1746031746031744,0.7410303939664484
5,47,320,260.0,65.3451271946677,5.2868225885653475,3.125,0.7231947369040983
6,52,325,245.3,61.65061423404611,4.987913772981077,3.076923076923077,0.6979189371396661
7,57,330,225.9,56.77486243567474,4.5934354721419695,3.0303030303030303,0.6621376198536433
8,62,335,204.2,51.32105758904286,4.152189125327093,2.985074626865672,0.6182771266841718
9,67,340,182.5,45.867252742410976,3.710942778512215,2.941176470588235,0.5694842577257738
10,72,345,162.1,40.74017353175244,3.296130544640165,2.898550724637681,0.5180044037817954
11,77,350,143.5,36.06548366321083,2.9179193902274134,2.857142857142857,0.46507329000329156
12,82,355,126.2,31.71751943064255,2.566142348757488,2.8169014084507045,0.40928074384139584
13,87,360,112.0,28.14867017616455,2.277400499689689,2.7777777777777777,0.35743941160346204
14,92,365,99.9,25.107608487489628,2.03135990999107,2.73972602739726,0.3077868771592627
15,97,370,91.3,22.946192741819846,1.8564880859077546,2.7027027027027026,0.2686921664675793
